Promotion,Seasonal,Sales_Volume,price,terms,section,season,material,origin
No,No,815,29.95,jackets,WOMAN,Autumn,Viscose,India
Yes,Yes,1226,41.95,jackets,MAN,Autumn,Polyester,Turkey
No,Yes,1012,53.0,jackets,WOMAN,Winter,Wool,China
No,Yes,784,15.0,jackets,MAN,Spring,Viscose,Turkey
No,Yes,723,89.95,jackets,WOMAN,Spring,Cotton,Cambodia
Yes,No,1323,35.99,jackets,WOMAN,Spring,Cotton,China
Yes,No,1457,37.99,jackets,WOMAN,Autumn,Cotton,India
No,Yes,789,22.95,jackets,MAN,Spring,Polyester,Cambodia
No,Yes,891,29.99,jackets,WOMAN,Spring,Wool Blend,China
No,No,936,38.99,jackets,WOMAN,Winter,Wool,Bangladesh
Yes,No,1429,28.99,jackets,MAN,Autumn,Polyester,China
No,No,797,78.99,jackets,MAN,Winter,Polyester,Portugal
Yes,Yes,1448,33.99,jackets,WOMAN,Spring,Cotton,Turkey
No,Yes,1050,64.99,jackets,WOMAN,Winter,Polyester,Spain
No,Yes,920,59.99,jackets,WOMAN,Autumn,Wool Blend,China
No,Yes,687,99.99,jackets,WOMAN,Autumn,Cotton,Bangladesh
Yes,Yes,1407,16.95,jackets,WOMAN,Spring,Denim,Turkey
No,No,890,22.95,jackets,WOMAN,Autumn,Cotton,Brazil
Yes,Yes,1395,17.95,jackets,MAN,Autumn,Cotton,China
Yes,No,1289,69.95,jackets,WOMAN,Summer,Linen,Spain
No,No,739,65.95,jackets,MAN,Winter,Wool,Spain
Yes,Yes,1302,16.99,jackets,MAN,Autumn,Acrylic,Vietnam
Yes,Yes,1530,19.99,jackets,WOMAN,Winter,Wool Blend,Bangladesh
No,Yes,962,29.99,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
Yes,No,1079,59.99,jackets,MAN,Autumn,Acrylic,China
No,No,903,15.99,jackets,WOMAN,Autumn,Polyester,China
No,No,925,29.95,jackets,WOMAN,Autumn,Viscose,China
No,No,1068,28.99,jackets,WOMAN,Winter,Wool Blend,Turkey
No,No,708,79.95,jackets,WOMAN,Autumn,Wool Blend,Spain
Yes,No,1620,12.95,jackets,WOMAN,Autumn,Viscose,Turkey
No,No,1014,19.99,jackets,WOMAN,Spring,Polyester,Spain
Yes,Yes,1275,16.95,jackets,MAN,Autumn,Cotton,Bangladesh
Yes,Yes,1177,34.99,jackets,WOMAN,Autumn,Wool Blend,Morocco
Yes,Yes,1827,16.95,jackets,WOMAN,Winter,Cotton,India
Yes,Yes,1232,80.95,jackets,WOMAN,Autumn,Polyester,China
Yes,Yes,1077,76.0,jackets,MAN,Autumn,Polyester,India
Yes,No,1848,18.99,jackets,WOMAN,Winter,Viscose,Spain
Yes,No,1312,69.99,jackets,WOMAN,Autumn,Cotton,India
Yes,No,1432,17.99,jackets,MAN,Autumn,Viscose,Vietnam
No,Yes,864,19.99,jackets,WOMAN,Autumn,Wool Blend,Portugal
Yes,Yes,1433,34.0,jackets,WOMAN,Spring,Linen,Bangladesh
No,No,973,28.99,jackets,MAN,Winter,Wool,India
No,Yes,980,33.95,jackets,WOMAN,Summer,Cotton,Brazil
Yes,No,1495,17.0,jackets,WOMAN,Autumn,Cotton,Morocco
Yes,Yes,1590,25.95,jackets,WOMAN,Summer,Linen,Spain
Yes,No,1529,23.95,jackets,MAN,Summer,Linen,Turkey
Yes,Yes,1525,28.99,jackets,WOMAN,Summer,Linen,China
Yes,Yes,1518,43.99,jackets,WOMAN,Winter,Cotton,Bangladesh
No,No,770,45.99,jackets,WOMAN,Spring,Linen Blend,Bangladesh
Yes,Yes,1216,55.95,jackets,MAN,Autumn,Polyester,Portugal
No,No,872,29.99,jackets,MAN,Autumn,Viscose,Bangladesh
Yes,Yes,1677,17.99,jackets,MAN,Winter,Polyester,Spain
Yes,Yes,1314,61.99,jackets,WOMAN,Autumn,Wool Blend,China
Yes,No,1560,20.99,jackets,WOMAN,Autumn,Cotton,China
No,Yes,937,15.95,jackets,WOMAN,Autumn,Cotton,India
No,No,843,19.99,jackets,WOMAN,Autumn,Viscose,Morocco
No,No,738,98.95,jackets,MAN,Winter,Wool Blend,Bangladesh
Yes,Yes,1404,79.99,jackets,WOMAN,Summer,Linen,Cambodia
No,Yes,942,29.99,jackets,WOMAN,Autumn,Polyester,China
No,Yes,887,19.0,jackets,WOMAN,Autumn,Polyester,Spain
Yes,Yes,1501,32.0,jackets,WOMAN,Summer,Cotton,Bangladesh
No,No,798,59.99,jackets,WOMAN,Spring,Linen,Cambodia
No,Yes,945,54.99,jackets,MAN,Winter,Polyester,Vietnam
Yes,Yes,1323,64.99,jackets,WOMAN,Winter,Viscose,Turkey
Yes,Yes,1300,56.95,jackets,MAN,Summer,Cotton,Bangladesh
No,Yes,953,45.95,shoes,WOMAN,Spring,Cotton,Portugal
Yes,Yes,1383,19.95,shoes,WOMAN,Spring,Cotton,Bangladesh
No,No,766,21.99,shoes,MAN,Summer,Cotton,Turkey
No,Yes,854,55.99,shoes,WOMAN,Winter,Polyester,India
No,No,828,22.99,shoes,WOMAN,Autumn,Polyester,Bangladesh
No,No,963,31.95,shoes,WOMAN,Winter,Polyester,Bangladesh
Yes,No,1467,47.99,shoes,MAN,Summer,Polyester,India
Yes,Yes,1519,26.99,shoes,WOMAN,Autumn,Polyester,Bangladesh
No,No,694,129.99,shoes,MAN,Winter,Cotton,Portugal
No,Yes,989,21.95,shoes,MAN,Summer,Viscose,Turkey
Yes,Yes,1510,19.99,shoes,WOMAN,Summer,Cotton,China
Yes,Yes,1243,31.99,shoes,MAN,Autumn,Viscose,Portugal
Yes,Yes,1413,35.99,shoes,WOMAN,Spring,Viscose,China
No,Yes,889,74.95,shoes,WOMAN,Summer,Cotton,Vietnam
No,No,980,22.95,shoes,WOMAN,Summer,Cotton,Morocco
Yes,No,1391,51.99,shoes,WOMAN,Spring,Cotton,India
Yes,Yes,1255,49.95,shoes,WOMAN,Spring,Viscose,Vietnam
Yes,Yes,1491,19.99,shoes,WOMAN,Summer,Cotton,China
Yes,Yes,1230,103.99,shoes,WOMAN,Summer,Viscose,Bangladesh
No,Yes,1063,25.95,shoes,WOMAN,Summer,Polyester,Cambodia
Yes,Yes,1374,39.95,shoes,MAN,Summer,Viscose,India
Yes,Yes,1585,30.99,shoes,MAN,Summer,Cotton,Vietnam
Yes,Yes,1329,41.0,shoes,WOMAN,Autumn,Viscose,Brazil
No,No,860,53.99,shoes,WOMAN,Summer,Polyester,Bangladesh
No,No,712,25.99,shoes,MAN,Autumn,Cotton,Spain
No,No,804,66.95,shoes,MAN,Summer,Linen,Turkey
Yes,Yes,1181,50.99,shoes,MAN,Autumn,Polyester,Portugal
No,No,833,79.99,shoes,WOMAN,Spring,Cotton,China
No,No,931,51.99,shoes,WOMAN,Summer,Viscose,India
No,No,691,130.99,shoes,MAN,Summer,Viscose,Turkey
Yes,Yes,1365,20.95,sweaters,WOMAN,Autumn,Wool Blend,Turkey
Yes,Yes,1484,21.95,sweaters,MAN,Winter,Wool Blend,China
No,No,895,77.95,sweaters,WOMAN,Winter,Acrylic,India
No,No,836,25.0,sweaters,WOMAN,Autumn,Wool,Portugal
No,No,954,21.99,sweaters,MAN,Winter,Wool Blend,Turkey
Yes,Yes,1532,54.99,sweaters,WOMAN,Winter,Wool,Pakistan
Yes,No,1738,21.99,sweaters,WOMAN,Winter,Wool Blend,China
No,No,962,32.95,sweaters,MAN,Winter,Wool,India
Yes,Yes,1470,33.0,sweaters,WOMAN,Autumn,Wool Blend,Morocco
No,Yes,1129,50.99,sweaters,WOMAN,Winter,Polyester,India
Yes,No,1380,49.99,sweaters,MAN,Winter,Wool Blend,China
Yes,No,1241,82.95,sweaters,MAN,Winter,Wool Blend,Turkey
Yes,No,1420,18.99,sweaters,WOMAN,Autumn,Wool,Vietnam
Yes,Yes,1663,18.95,sweaters,WOMAN,Winter,Wool,China
Yes,Yes,1255,23.99,sweaters,WOMAN,Autumn,Wool,Bangladesh
No,No,1125,38.99,sweaters,WOMAN,Winter,Wool Blend,Portugal
Yes,No,1481,52.99,sweaters,WOMAN,Winter,Acrylic,India
Yes,Yes,1119,48.0,sweaters,MAN,Autumn,Wool Blend,Bangladesh
Yes,Yes,1515,73.95,sweaters,WOMAN,Winter,Wool Blend,China
No,Yes,838,64.0,sweaters,MAN,Winter,Wool Blend,China
No,No,694,99.99,sweaters,MAN,Autumn,Wool Blend,Spain
Yes,Yes,1564,39.95,sweaters,MAN,Winter,Acrylic,Bangladesh
No,No,934,35.99,sweaters,WOMAN,Autumn,Wool Blend,India
Yes,Yes,1694,20.99,sweaters,WOMAN,Winter,Wool,Portugal
Yes,Yes,1381,62.99,sweaters,WOMAN,Autumn,Polyester,Spain
No,Yes,890,22.99,sweaters,WOMAN,Autumn,Polyester,China
Yes,Yes,1502,31.99,sweaters,WOMAN,Autumn,Wool,Turkey
No,No,843,86.99,sweaters,MAN,Winter,Wool,Morocco
Yes,No,1724,24.95,sweaters,WOMAN,Winter,Wool Blend,China
No,Yes,795,35.95,sweaters,MAN,Autumn,Wool Blend,Portugal
Yes,No,1287,63.99,sweaters,WOMAN,Autumn,Wool,Vietnam
No,Yes,998,67.99,sweaters,WOMAN,Winter,Wool,Bangladesh
No,No,813,65.99,sweaters,MAN,Winter,Wool Blend,Turkey
Yes,No,1416,45.99,sweaters,WOMAN,Winter,Acrylic,China
No,No,982,19.99,jackets,WOMAN,Autumn,Polyester,Morocco
No,No,919,49.95,jackets,WOMAN,Autumn,Cotton,Brazil
Yes,No,1279,12.99,jackets,MAN,Spring,Cotton,India
No,Yes,752,79.99,jeans,WOMAN,Autumn,Cotton,Bangladesh
No,No,957,25.99,jeans,WOMAN,Autumn,Cotton,China
No,No,853,40.99,jeans,WOMAN,Winter,Cotton,Cambodia
No,No,983,25.99,jeans,WOMAN,Winter,Denim,Argentina
No,No,845,39.95,jeans,MAN,Autumn,Cotton,Spain
Yes,No,1325,25.99,jeans,MAN,Autumn,Cotton,India
No,No,1026,29.95,jeans,WOMAN,Autumn,Cotton,Bangladesh
Yes,Yes,1420,22.99,jeans,WOMAN,Spring,Cotton,Bangladesh
Yes,No,1528,17.99,sweaters,MAN,Winter,Wool,Brazil
Yes,Yes,1252,39.99,sweaters,MAN,Autumn,Acrylic,Portugal
Yes,No,1225,51.99,sweaters,MAN,Autumn,Wool Blend,Bangladesh
Yes,No,1581,40.99,sweaters,WOMAN,Winter,Acrylic,Cambodia
No,No,981,17.99,sweaters,MAN,Winter,Wool,India
Yes,No,1501,41.99,t-shirts,WOMAN,Summer,Linen Blend,Cambodia
No,Yes,867,25.99,t-shirts,WOMAN,Spring,Linen,India
Yes,Yes,1489,63.99,t-shirts,WOMAN,Summer,Cotton,Morocco
Yes,Yes,1511,83.95,t-shirts,WOMAN,Summer,Linen,China
Yes,No,1356,29.95,t-shirts,MAN,Spring,Linen,China
No,No,822,29.95,t-shirts,MAN,Spring,Linen,China
No,No,811,84.99,t-shirts,MAN,Summer,Cotton,Morocco
No,Yes,1013,28.95,t-shirts,WOMAN,Summer,Linen,Morocco
Yes,Yes,1611,25.95,t-shirts,WOMAN,Spring,Linen Blend,Turkey
No,No,820,59.0,t-shirts,WOMAN,Spring,Cotton,Portugal
No,No,895,29.95,t-shirts,WOMAN,Spring,Cotton,Morocco
No,Yes,862,64.99,t-shirts,MAN,Summer,Linen,India
No,No,692,95.0,t-shirts,MAN,Summer,Linen Blend,Turkey
Yes,No,1351,16.95,t-shirts,MAN,Autumn,Wool,Portugal
No,Yes,894,24.99,t-shirts,MAN,Summer,Cotton,Cambodia
No,No,762,69.95,t-shirts,MAN,Spring,Linen,Bangladesh
Yes,Yes,1833,14.99,t-shirts,WOMAN,Summer,Linen,China
No,Yes,834,64.99,t-shirts,WOMAN,Summer,Linen,Vietnam
No,No,794,89.95,shoes,WOMAN,Autumn,Cotton,Spain
Yes,Yes,1544,19.99,t-shirts,MAN,Winter,Polyester,Pakistan
Yes,Yes,1097,71.0,sweaters,WOMAN,Autumn,Wool Blend,Vietnam
No,No,767,79.99,sweaters,WOMAN,Autumn,Wool,China
No,No,900,25.99,t-shirts,WOMAN,Spring,Linen Blend,Portugal
No,Yes,709,79.0,t-shirts,MAN,Autumn,Viscose,Morocco
No,No,815,49.99,t-shirts,MAN,Autumn,Polyester,Vietnam
No,No,935,53.95,t-shirts,WOMAN,Winter,Wool,India
Yes,Yes,1160,41.99,t-shirts,MAN,Spring,Viscose,Bangladesh
Yes,Yes,1534,17.95,t-shirts,WOMAN,Spring,Cotton,Spain
No,No,970,65.99,t-shirts,WOMAN,Winter,Cotton,India
No,No,850,25.95,t-shirts,WOMAN,Autumn,Denim,Morocco
Yes,No,1341,17.95,t-shirts,MAN,Autumn,Cotton,Bangladesh
No,Yes,822,69.0,t-shirts,WOMAN,Spring,Polyester,Brazil
Yes,No,1722,18.99,t-shirts,WOMAN,Winter,Polyester,India
Yes,Yes,1436,23.0,t-shirts,WOMAN,Spring,Cotton,Vietnam
No,No,946,29.99,t-shirts,WOMAN,Autumn,Wool Blend,Portugal
Yes,Yes,1468,33.99,jackets,WOMAN,Spring,Linen Blend,Bangladesh
No,Yes,710,79.99,jackets,WOMAN,Spring,Linen,India
No,No,773,25.95,jackets,MAN,Autumn,Viscose,Bangladesh
No,Yes,778,49.99,jackets,MAN,Spring,Viscose,Spain
Yes,Yes,1241,42.0,jackets,WOMAN,Autumn,Cotton,Bangladesh
No,No,970,55.95,jackets,WOMAN,Winter,Polyester,Morocco
Yes,Yes,1484,14.99,jackets,WOMAN,Autumn,Wool Blend,Vietnam
No,Yes,790,35.99,jackets,WOMAN,Autumn,Cotton,Turkey
Yes,Yes,1446,24.99,jeans,MAN,Summer,Linen,Pakistan
Yes,Yes,1620,42.99,jackets,WOMAN,Winter,Wool Blend,Portugal
Yes,No,1223,37.95,sweaters,MAN,Autumn,Viscose,Morocco
Yes,Yes,1238,68.99,jackets,MAN,Autumn,Wool Blend,Turkey
Yes,Yes,1408,20.95,jackets,WOMAN,Spring,Linen,Portugal
No,Yes,996,31.95,jeans,WOMAN,Winter,Wool,Portugal
No,No,638,119.99,t-shirts,WOMAN,Spring,Linen,China
No,No,963,19.99,jackets,WOMAN,Autumn,Viscose,Turkey
No,No,882,79.99,shoes,WOMAN,Autumn,Polyester,Bangladesh
Yes,Yes,1442,47.99,jackets,WOMAN,Winter,Wool,Turkey
No,Yes,991,24.99,jackets,MAN,Summer,Cotton,Portugal
No,No,973,54.99,sweaters,WOMAN,Winter,Polyester,China
No,Yes,808,45.95,shoes,MAN,Spring,Linen,India
No,Yes,739,35.99,shoes,MAN,Autumn,Wool Blend,China
Yes,Yes,1484,17.99,shoes,WOMAN,Spring,Linen,Portugal
Yes,Yes,1371,19.99,jackets,WOMAN,Spring,Linen,Morocco
No,No,768,74.95,jackets,MAN,Summer,Wool,Brazil
No,Yes,971,29.0,shoes,WOMAN,Spring,Cotton,China
No,No,948,15.95,jackets,WOMAN,Spring,Linen,India
Yes,No,1304,83.95,jackets,WOMAN,Winter,Cotton,China
Yes,Yes,1377,15.99,sweaters,MAN,Spring,Polyester,Bangladesh
Yes,Yes,1253,87.99,jackets,MAN,Winter,Wool Blend,Bangladesh
Yes,Yes,1330,52.95,sweaters,WOMAN,Autumn,Wool Blend,Spain
Yes,Yes,1258,53.99,sweaters,MAN,Autumn,Acrylic,Brazil
No,Yes,800,38.99,jackets,MAN,Winter,Wool,Turkey
Yes,No,1191,21.99,jackets,MAN,Spring,Linen,Portugal
No,Yes,947,24.99,t-shirts,WOMAN,Winter,Wool,India
Yes,No,1574,42.99,jackets,WOMAN,Winter,Wool Blend,China
No,No,899,29.95,t-shirts,WOMAN,Spring,Viscose,Morocco
Yes,Yes,1451,25.0,jackets,WOMAN,Autumn,Wool Blend,India
Yes,Yes,1370,25.99,jeans,WOMAN,Autumn,Polyester,Bangladesh
No,No,689,69.95,sweaters,WOMAN,Autumn,Cotton,Turkey
No,Yes,871,35.99,jackets,MAN,Autumn,Polyester,Portugal
Yes,No,1510,16.95,t-shirts,WOMAN,Autumn,Polyester,Brazil
No,Yes,887,66.0,jackets,WOMAN,Winter,Wool Blend,Spain
No,No,916,19.99,jackets,WOMAN,Autumn,Satin,Portugal
No,Yes,926,48.0,shoes,WOMAN,Winter,Wool,Bangladesh
No,No,895,63.0,sweaters,WOMAN,Winter,Wool,China
No,Yes,884,54.99,jackets,MAN,Winter,Wool Blend,Pakistan
No,Yes,986,21.99,sweaters,MAN,Summer,Cotton,China
Yes,No,1440,33.0,jackets,MAN,Summer,Linen,Vietnam
No,No,797,35.99,jackets,MAN,Spring,Linen Blend,Spain
No,No,822,15.99,t-shirts,MAN,Spring,Linen Blend,India
Yes,No,1444,30.95,jeans,WOMAN,Summer,Wool Blend,Bangladesh
No,No,863,29.99,jackets,WOMAN,Spring,Cotton,Portugal
No,Yes,886,29.95,t-shirts,WOMAN,Autumn,Polyester,Cambodia
Yes,Yes,1592,21.99,jackets,WOMAN,Spring,Linen,Bangladesh
No,No,1068,39.99,jackets,WOMAN,Summer,Cotton,Bangladesh
Yes,Yes,1582,22.99,shoes,WOMAN,Summer,Cotton,India
Yes,Yes,1255,52.99,jackets,WOMAN,Autumn,Polyester,China
No,No,791,49.95,t-shirts,WOMAN,Spring,Wool Blend,Bangladesh
No,Yes,820,42.99,t-shirts,WOMAN,Winter,Polyester,Turkey
No,No,1201,16.99,jackets,WOMAN,Summer,Polyester,China
No,No,795,22.99,t-shirts,MAN,Spring,Cotton,Turkey
No,No,763,25.99,sweaters,MAN,Autumn,Wool,Vietnam
Yes,Yes,1422,22.95,jackets,WOMAN,Autumn,Denim,Turkey
Yes,Yes,1458,21.95,t-shirts,WOMAN,Autumn,Viscose,Turkey
No,Yes,820,54.95,t-shirts,WOMAN,Summer,Wool Blend,Morocco
Yes,No,1363,60.99,sweaters,MAN,Autumn,Cotton,Spain
Yes,Yes,1217,36.99,jackets,MAN,Autumn,Wool Blend,India
Yes,Yes,1589,16.99,jackets,MAN,Spring,Polyester,Brazil
No,Yes,826,49.99,t-shirts,WOMAN,Spring,Linen,India
Yes,Yes,1713,26.0,jackets,WOMAN,Summer,Linen Blend,Bangladesh
No,Yes,718,69.99,jackets,MAN,Autumn,Wool,Bangladesh
No,No,833,59.99,jeans,WOMAN,Autumn,Wool Blend,Bangladesh
No,No,813,127.99,jackets,WOMAN,Summer,Linen Blend,China
No,No,774,35.95,shoes,MAN,Autumn,Wool Blend,Spain
No,Yes,963,32.95,t-shirts,MAN,Winter,Wool,Turkey
No,No,894,66.95,jackets,WOMAN,Summer,Linen Blend,Morocco
No,No,930,35.95,shoes,MAN,Autumn,Wool Blend,China
No,No,860,55.99,sweaters,MAN,Winter,Wool Blend,India
Yes,Yes,1435,37.99,sweaters,MAN,Autumn,Satin,Brazil
No,No,786,69.99,jackets,MAN,Autumn,Viscose,Morocco
No,Yes,868,28.99,t-shirts,WOMAN,Winter,Wool,Bangladesh
No,No,936,29.99,t-shirts,WOMAN,Spring,Cotton,Turkey
Yes,No,1386,16.99,t-shirts,MAN,Autumn,Polyester,Turkey
Yes,Yes,1515,16.99,jackets,WOMAN,Autumn,Wool Blend,India
No,No,799,107.0,sweaters,WOMAN,Winter,Wool,Turkey
No,No,965,21.95,sweaters,WOMAN,Summer,Cotton,China
Yes,Yes,1490,25.95,jackets,WOMAN,Spring,Cotton,Morocco
Yes,No,1657,14.99,jackets,WOMAN,Summer,Wool,Bangladesh
Yes,Yes,1613,21.99,sweaters,MAN,Winter,Wool Blend,Morocco
Yes,No,1691,39.0,t-shirts,WOMAN,Summer,Cotton,India
Yes,Yes,1503,14.0,jackets,WOMAN,Winter,Wool,India
No,No,830,49.99,t-shirts,WOMAN,Spring,Linen,Morocco
No,Yes,788,45.99,jackets,WOMAN,Spring,Cotton,Bangladesh
Yes,Yes,1485,17.99,jackets,WOMAN,Autumn,Wool Blend,Spain
Yes,Yes,1625,36.95,sweaters,WOMAN,Winter,Wool,China
No,No,829,66.95,jackets,WOMAN,Winter,Polyester,Portugal
Yes,No,1497,26.99,sweaters,WOMAN,Summer,Wool Blend,Brazil
No,No,1102,21.99,sweaters,WOMAN,Winter,Cotton,Turkey
Yes,No,1359,16.95,jackets,WOMAN,Autumn,Acrylic,Argentina
No,Yes,1072,25.95,jeans,WOMAN,Winter,Wool Blend,Bangladesh
Yes,Yes,1377,20.99,jackets,WOMAN,Autumn,Cotton,Vietnam
No,No,836,32.99,sweaters,MAN,Summer,Cotton,Morocco
No,No,642,119.95,jackets,WOMAN,Autumn,Wool,China
No,No,837,16.95,t-shirts,MAN,Winter,Acrylic,Bangladesh
No,Yes,825,73.95,t-shirts,WOMAN,Summer,Linen,Bangladesh
No,Yes,912,25.99,jackets,WOMAN,Spring,Cotton,China
Yes,No,1605,23.95,jackets,WOMAN,Spring,Cotton,Vietnam
Yes,Yes,1417,41.99,t-shirts,WOMAN,Spring,Cotton,Turkey
No,No,939,22.0,jackets,WOMAN,Autumn,Viscose,China
Yes,No,1444,35.95,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
No,Yes,797,25.99,shoes,MAN,Autumn,Viscose,Portugal
No,No,998,21.99,shoes,WOMAN,Winter,Wool Blend,China
Yes,Yes,1322,34.0,shoes,MAN,Spring,Linen,China
Yes,Yes,1286,67.99,jackets,WOMAN,Spring,Cotton,Bangladesh
Yes,Yes,1325,57.95,sweaters,WOMAN,Autumn,Wool Blend,Bangladesh
Yes,No,1299,30.99,jackets,WOMAN,Autumn,Wool,Bangladesh
Yes,Yes,1312,33.99,sweaters,MAN,Spring,Linen,Bangladesh
No,No,996,19.99,t-shirts,WOMAN,Spring,Cotton,Vietnam
Yes,No,1574,13.99,jackets,WOMAN,Autumn,Viscose,Bangladesh
Yes,Yes,1474,13.99,jackets,MAN,Winter,Wool Blend,Turkey
No,No,921,29.99,shoes,WOMAN,Autumn,Viscose,Bangladesh
No,Yes,963,25.95,sweaters,WOMAN,Summer,Wool,Vietnam
No,No,778,45.99,jeans,WOMAN,Autumn,Viscose,India
Yes,Yes,1414,43.95,t-shirts,MAN,Summer,Linen,Turkey
No,No,1110,33.95,jackets,WOMAN,Summer,Cotton,India
No,No,868,45.99,sweaters,MAN,Spring,Viscose,Morocco
Yes,No,1415,57.99,sweaters,WOMAN,Spring,Linen,China
No,Yes,873,59.95,t-shirts,WOMAN,Autumn,Acrylic,Cambodia
No,Yes,790,35.99,jackets,WOMAN,Spring,Linen Blend,Argentina
No,Yes,792,19.99,jackets,WOMAN,Autumn,Wool Blend,Morocco
Yes,Yes,1367,19.99,shoes,WOMAN,Autumn,Wool,Argentina
Yes,No,1651,23.95,jackets,WOMAN,Summer,Linen,Morocco
No,No,829,39.0,sweaters,MAN,Winter,Polyester,Bangladesh
Yes,No,1448,24.0,jackets,WOMAN,Autumn,Polyester,Turkey
Yes,Yes,1453,53.99,jackets,WOMAN,Autumn,Wool,Bangladesh
No,No,953,15.95,jeans,WOMAN,Autumn,Polyester,China
Yes,Yes,1218,60.99,t-shirts,WOMAN,Spring,Wool,Bangladesh
